region,country,pop_100k,life_expectancy_years,health_expenditure_usd
South Asia,Afghanistan,337.535,63.3769989013672,
Europe and Central Asia,Albania,28.82482,78.0250015258789,
Middle East and North Africa,Algeria,395.43148,76.0899963378906,
East Asia and Pacific,American Samoa,0.51391,,
Europe and Central Asia,Andorra,0.71766,,
Sub-Saharan Africa,Angola,281.27724,59.3979988098145,
Latin America and Caribbean,Antigua and Barbuda,0.89958,76.4830017089844,
Latin America and Caribbean,Argentina,432.57064,76.068000793457,
Europe and Central Asia,Armenia,28.78598,74.4670028686524,
Latin America and Caribbean,Aruba,1.04269,75.7249984741211,
East Asia and Pacific,Australia,238.2024,82.4000015258789,4164.2213
Europe and Central Asia,Austria,86.42422,81.1902465820313,4451.1826
Europe and Central Asia,Azerbaijan,98.63485,72.265998840332,
Latin America and Caribbean,Bahamas,3.92707,73.0879974365234,
Middle East and North Africa,Bahrain,13.62157,76.7620010375977,
South Asia,Bangladesh,1578.3,71.5139999389649,
Latin America and Caribbean,Barbados,2.78095,78.8010025024414,
Europe and Central Asia,Belarus,97.00609,73.6243896484375,
Europe and Central Asia,Belgium,112.48306,80.9926834106445,4120.0479
Latin America and Caribbean,Belize,3.59884,74.0339965820313,
Sub-Saharan Africa,Benin,109.32791,60.6080017089844,
North America,Bermuda,0.63165,81.0121917724609,
South Asia,Bhutan,7.43284,70.4189987182617,
Latin America and Caribbean,Bolivia,110.9009,70.2770004272461,
Europe and Central Asia,Bosnia and Herzegovina,35.24328,76.8649978637695,
Sub-Saharan Africa,Botswana,23.05177,67.3379974365234,
Latin America and Caribbean,Brazil,2051.88208,74.9940032958984,
Latin America and Caribbean,British Virgin Islands,0.29394,,
East Asia and Pacific,Brunei,4.21449,75.318000793457,
Europe and Central Asia,Bulgaria,73.09255,74.614631652832,
Sub-Saharan Africa,Burkina Faso,187.18022,59.9189987182617,
Sub-Saharan Africa,Burundi,107.27153,60.1230010986328,
East Asia and Pacific,Cambodia,154.17527,68.6370010375977,
Sub-Saharan Africa,Cameroon,230.1265,57.5830001831055,
North America,Canada,357.3212,81.9000015258789,4288.992
Sub-Saharan Africa,Cape Verde,5.52169,72.1169967651367,
Latin America and Caribbean,Cayman Islands,0.60935,,
Sub-Saharan Africa,Central African Republic,48.19341,50.8810005187988,
Sub-Saharan Africa,Chad,141.40277,53.1370010375977,
Europe and Central Asia,Channel Islands,,82.4290008544922,
Latin America and Caribbean,Chile,178.70122,79.6460037231445,1595.5279
East Asia and Pacific,China,13937.15456,75.9280014038086,
Latin America and Caribbean,Colombia,471.19728,76.5309982299805,
Sub-Saharan Africa,Comoros,7.30221,63.4710006713867,
Sub-Saharan Africa,Congo,50.6439,63.0970001220703,
Latin America and Caribbean,Costa Rica,48.95241,79.5650024414063,
Sub-Saharan Africa,Cote d'Ivoire,235.96738,56.064998626709,
Europe and Central Asia,Croatia,42.54821,77.2756118774414,
Latin America and Caribbean,Cuba,113.39888,78.5609970092774,
Latin America and Caribbean,Curacao,1.69588,78.0756072998047,
Europe and Central Asia,Cyprus,11.87286,80.3499984741211,
Europe and Central Asia,Czechia,105.23801,78.5780487060547,2166.4171
Sub-Saharan Africa,Democratic Republic of Congo,786.56904,59.2540016174316,
Europe and Central Asia,Denmark,56.77795,80.7024383544922,4484.5356
Middle East and North Africa,Djibouti,10.06266,64.1360015869141,
Latin America and Caribbean,Dominica,0.70027,,
Latin America and Caribbean,Dominican Republic,104.05832,73.2409973144531,
Latin America and Caribbean,Ecuador,161.95904,76.1429977416992,
Middle East and North Africa,Egypt,977.23792,71.302001953125,
Latin America and Caribbean,El Salvador,62.31072,72.4120025634766,
Sub-Saharan Africa,Equatorial Guinea,13.46974,57.359001159668,
Sub-Saharan Africa,Eritrea,33.40005,64.6640014648438,
Europe and Central Asia,Estonia,13.14658,77.5902404785156,1613.1031
Sub-Saharan Africa,Eswatini,11.33941,55.359001159668,
Sub-Saharan Africa,Ethiopia,1024.71896,65.0479965209961,
Europe and Central Asia,Faeroe Islands,0.48848,81.7926864624024,
East Asia and Pacific,Fiji,9.17209,67.1029968261719,
Europe and Central Asia,Finland,54.79457,81.4804840087891,3627.9559
Europe and Central Asia,France,638.09768,82.3219528198242,4027.949
East Asia and Pacific,French Polynesia,2.91796,76.7870025634766,
Sub-Saharan Africa,Gabon,20.28524,64.9130020141602,
Sub-Saharan Africa,Gambia,22.53137,60.9099998474121,
Europe and Central Asia,Georgia,37.71135,72.9729995727539,
Europe and Central Asia,Germany,820.73232,80.6414642333984,4772.328
Sub-Saharan Africa,Ghana,288.70946,62.7719993591309,
Europe and Central Asia,Gibraltar,0.32546,,
Europe and Central Asia,Greece,108.06644,81.0365829467773,1994.1161
Europe and Central Asia,Greenland,0.55916,71.9773178100586,
Latin America and Caribbean,Grenada,1.18994,72.4449996948242,
East Asia and Pacific,Guam,1.67996,79.1439971923828,
Latin America and Caribbean,Guatemala,160.01105,73.25,
Sub-Saharan Africa,Guinea,116.26003,59.5979995727539,
Sub-Saharan Africa,Guinea-Bissau,17.88931,56.9589996337891,
Latin America and Caribbean,Guyana,7.55043,69.2620010375977,
Latin America and Caribbean,Haiti,105.63762,62.4850006103516,
Latin America and Caribbean,Honduras,92.9451,74.495002746582,
East Asia and Pacific,Hong Kong,73.99845,84.2780456542969,
Europe and Central Asia,Hungary,98.4425,75.5682907104492,1676.6019
Europe and Central Asia,Iceland,3.31068,82.4682922363281,3712.7076
South Asia,India,13228.6656,68.6070022583008,
East Asia and Pacific,Indonesia,2590.91968,70.7679977416992,
Middle East and North Africa,Iran,817.90848,75.7959976196289,
Middle East and North Africa,Iraq,377.57812,69.9290008544922,
Europe and Central Asia,Ireland,46.65764,81.4536590576172,4730.3324
Europe and Central Asia,Isle of Man,0.83614,,
Middle East and North Africa,Israel,80.07777,82.0512161254883,2292.3219
Europe and Central Asia,Italy,602.32908,82.5438995361328,2954.1373
